nic,antenna,ssid,distance,timestamp,ping_packet_size,ping_loss,ping_min,ping_avg,ping_max,ping_mdev
airport-extreme,1,senic-sandbox,0,1488280330,64,0.0,7.123,13.413,30.067,5.741
airport-extreme,1,senic-sandbox,0,1488280345,1024,0.0,8.203,15.864,48.425,8.438
airport-extreme,1,senic-sandbox,1,1488280440,64,0.0,8.023,36.500,179.104,39.707
airport-extreme,1,senic-sandbox,1,1488280455,1024,0.0,8.388,56.501,251.979,66.769
airport-extreme,1,senic-sandbox,2,1488280525,64,0.0,7.878,52.831,185.974,53.637
airport-extreme,1,senic-sandbox,2,1488280539,1024,0.0,8.657,48.061,248.494,57.796
airport-extreme,1,senic-sandbox,3,1488280606,64,60.0,7.992,63.251,202.831,55.371
airport-extreme,1,senic-sandbox,3,1488280622,1024,83.3,14.027,44.049,87.636,24.175
airport-extreme,1,senic-sandbox,4,1488280697,64,30.0,8.195,108.581,547.852,122.811
airport-extreme,1,senic-sandbox,4,1488280714,1024,43.3,10.657,111.137,702.561,181.359
airport-extreme,1,senic-sandbox,5,1488280831,64,0.0,9.399,47.275,203.895,51.781
airport-extreme,1,senic-sandbox,5,1488280846,1024,3.3,11.564,238.770,1006.724,238.762
airport-extreme,1,senic-sandbox,6,1488280909,64,6.7,9.461,75.197,306.836,78.949
airport-extreme,1,senic-sandbox,6,1488280925,1024,0.0,11.310,52.966,237.704,54.968
airport-extreme,1,senic-sandbox,7,1488281010,64,3.3,10.632,47.393,180.068,49.326
airport-extreme,1,senic-sandbox,7,1488281026,1024,0.0,12.277,45.313,145.314,41.398
airport-extreme,1,senic-sandbox,8,1488281121,64,0.0,8.353,67.845,263.265,72.424
airport-extreme,1,senic-sandbox,8,1488281136,1024,0.0,12.044,54.101,155.805,48.446
airport-extreme,1,senic-sandbox,9,1488281205,64,0.0,9.235,46.856,199.021,50.343
airport-extreme,1,senic-sandbox,9,1488281220,1024,0.0,12.589,35.065,141.703,35.891
airport-extreme,1,senic-sandbox,10,1488281281,64,36.7,8.826,34.292,172.579,48.407
airport-extreme,1,senic-sandbox,10,1488281297,1024,73.3,10.050,21.834,30.650,5.548
airport-extreme,1,senic-sandbox,11,1488281374,64,0.0,9.539,62.264,145.936,53.491
airport-extreme,1,senic-sandbox,11,1488281388,1024,3.3,15.498,50.585,227.390,48.054
airport-extreme,1,senic-sandbox,12,1488281474,64,0.0,9.718,68.600,275.136,74.835
airport-extreme,1,senic-sandbox,12,1488281489,1024,0.0,13.734,83.729,309.721,72.580
