nic,antenna,ssid,distance,timestamp,rssi,noise,channel,snr
airport-extreme,1,senic-sandbox,0,1488280298,-33,-95,4,62
airport-extreme,1,senic-sandbox,0,1488280299,-32,-95,4,63
airport-extreme,1,senic-sandbox,0,1488280300,-31,-95,4,64
airport-extreme,1,senic-sandbox,0,1488280301,-31,-95,4,64
airport-extreme,1,senic-sandbox,0,1488280302,-31,-97,4,66
airport-extreme,1,senic-sandbox,0,1488280303,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280304,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280305,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280306,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280307,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280308,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280309,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280310,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280311,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280312,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280313,-30,-99,4,69
airport-extreme,1,senic-sandbox,0,1488280314,-30,-99,4,69
airport-extreme,1,senic-sandbox,0,1488280316,-30,-99,4,69
airport-extreme,1,senic-sandbox,0,1488280317,-30,-99,4,69
airport-extreme,1,senic-sandbox,0,1488280318,-30,-99,4,69
airport-extreme,1,senic-sandbox,0,1488280319,-30,-99,4,69
airport-extreme,1,senic-sandbox,0,1488280320,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280321,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280322,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280323,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280324,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280325,-30,-98,4,68
airport-extreme,1,senic-sandbox,0,1488280326,-30,-100,4,70
airport-extreme,1,senic-sandbox,0,1488280327,-30,-101,4,71
airport-extreme,1,senic-sandbox,0,1488280328,-31,-101,4,70
airport-extreme,1,senic-sandbox,0,1488280329,-32,-101,4,69
airport-extreme,1,senic-sandbox,1,1488280408,-38,-101,4,63
airport-extreme,1,senic-sandbox,1,1488280409,-38,-101,4,63
airport-extreme,1,senic-sandbox,1,1488280410,-38,-101,4,63
airport-extreme,1,senic-sandbox,1,1488280412,-38,-101,4,63
airport-extreme,1,senic-sandbox,1,1488280413,-38,-101,4,63
airport-extreme,1,senic-sandbox,1,1488280414,-38,-101,4,63
airport-extreme,1,senic-sandbox,1,1488280415,-37,-101,4,64
airport-extreme,1,senic-sandbox,1,1488280416,-37,-100,4,63
airport-extreme,1,senic-sandbox,1,1488280417,-37,-99,4,62
airport-extreme,1,senic-sandbox,1,1488280418,-37,-99,4,62
airport-extreme,1,senic-sandbox,1,1488280419,-37,-99,4,62
airport-extreme,1,senic-sandbox,1,1488280420,-37,-99,4,62
airport-extreme,1,senic-sandbox,1,1488280421,-37,-99,4,62
airport-extreme,1,senic-sandbox,1,1488280422,-37,-98,4,61
airport-extreme,1,senic-sandbox,1,1488280423,-37,-96,4,59
airport-extreme,1,senic-sandbox,1,1488280424,-36,-93,4,57
airport-extreme,1,senic-sandbox,1,1488280425,-36,-93,4,57
airport-extreme,1,senic-sandbox,1,1488280426,-36,-93,4,57
airport-extreme,1,senic-sandbox,1,1488280427,-36,-93,4,57
airport-extreme,1,senic-sandbox,1,1488280428,-36,-96,4,60
airport-extreme,1,senic-sandbox,1,1488280429,-36,-98,4,62
airport-extreme,1,senic-sandbox,1,1488280430,-36,-98,4,62
airport-extreme,1,senic-sandbox,1,1488280431,-36,-98,4,62
airport-extreme,1,senic-sandbox,1,1488280432,-36,-98,4,62
airport-extreme,1,senic-sandbox,1,1488280433,-37,-98,4,61
airport-extreme,1,senic-sandbox,1,1488280434,-37,-100,4,63
airport-extreme,1,senic-sandbox,1,1488280435,-36,-101,4,65
airport-extreme,1,senic-sandbox,1,1488280436,-36,-101,4,65
airport-extreme,1,senic-sandbox,1,1488280437,-36,-101,4,65
airport-extreme,1,senic-sandbox,1,1488280438,-37,-101,4,64
airport-extreme,1,senic-sandbox,1,1488280439,-38,-101,4,63
airport-extreme,1,senic-sandbox,2,1488280493,-36,-83,4,47
airport-extreme,1,senic-sandbox,2,1488280494,-36,-84,4,48
airport-extreme,1,senic-sandbox,2,1488280495,-36,-84,4,48
airport-extreme,1,senic-sandbox,2,1488280496,-36,-84,4,48
airport-extreme,1,senic-sandbox,2,1488280497,-36,-84,4,48
airport-extreme,1,senic-sandbox,2,1488280498,-36,-84,4,48
airport-extreme,1,senic-sandbox,2,1488280499,-36,-84,4,48
airport-extreme,1,senic-sandbox,2,1488280500,-36,-82,4,46
airport-extreme,1,senic-sandbox,2,1488280501,-36,-80,4,44
airport-extreme,1,senic-sandbox,2,1488280502,-36,-78,4,42
airport-extreme,1,senic-sandbox,2,1488280503,-36,-78,4,42
airport-extreme,1,senic-sandbox,2,1488280504,-36,-78,4,42
airport-extreme,1,senic-sandbox,2,1488280505,-36,-78,4,42
airport-extreme,1,senic-sandbox,2,1488280506,-36,-78,4,42
airport-extreme,1,senic-sandbox,2,1488280507,-36,-78,4,42
airport-extreme,1,senic-sandbox,2,1488280508,-36,-78,4,42
airport-extreme,1,senic-sandbox,2,1488280509,-36,-78,4,42
airport-extreme,1,senic-sandbox,2,1488280510,-36,-87,4,51
airport-extreme,1,senic-sandbox,2,1488280511,-36,-93,4,57
airport-extreme,1,senic-sandbox,2,1488280512,-36,-95,4,59
airport-extreme,1,senic-sandbox,2,1488280513,-36,-95,4,59
airport-extreme,1,senic-sandbox,2,1488280514,-36,-95,4,59
airport-extreme,1,senic-sandbox,2,1488280515,-36,-95,4,59
airport-extreme,1,senic-sandbox,2,1488280516,-36,-95,4,59
airport-extreme,1,senic-sandbox,2,1488280517,-36,-95,4,59
airport-extreme,1,senic-sandbox,2,1488280518,-36,-95,4,59
airport-extreme,1,senic-sandbox,2,1488280519,-36,-95,4,59
airport-extreme,1,senic-sandbox,2,1488280521,-36,-95,4,59
airport-extreme,1,senic-sandbox,2,1488280522,-36,-95,4,59
airport-extreme,1,senic-sandbox,2,1488280523,-35,-95,4,60
airport-extreme,1,senic-sandbox,2,1488280524,-36,-95,4,59
airport-extreme,1,senic-sandbox,3,1488280575,-46,-86,4,40
airport-extreme,1,senic-sandbox,3,1488280576,-46,-84,4,38
airport-extreme,1,senic-sandbox,3,1488280577,-46,-83,4,37
airport-extreme,1,senic-sandbox,3,1488280578,-46,-83,4,37
airport-extreme,1,senic-sandbox,3,1488280579,-46,-83,4,37
airport-extreme,1,senic-sandbox,3,1488280580,-45,-87,4,42
airport-extreme,1,senic-sandbox,3,1488280581,-46,-90,4,44
airport-extreme,1,senic-sandbox,3,1488280582,-46,-90,4,44
airport-extreme,1,senic-sandbox,3,1488280583,-47,-90,4,43
airport-extreme,1,senic-sandbox,3,1488280584,-47,-90,4,43
airport-extreme,1,senic-sandbox,3,1488280585,-47,-90,4,43
airport-extreme,1,senic-sandbox,3,1488280586,-47,-93,4,46
airport-extreme,1,senic-sandbox,3,1488280587,-48,-95,4,47
airport-extreme,1,senic-sandbox,3,1488280588,-47,-95,4,48
airport-extreme,1,senic-sandbox,3,1488280589,-48,-95,4,47
airport-extreme,1,senic-sandbox,3,1488280590,-48,-95,4,47
airport-extreme,1,senic-sandbox,3,1488280591,-48,-95,4,47
airport-extreme,1,senic-sandbox,3,1488280592,-48,-95,4,47
airport-extreme,1,senic-sandbox,3,1488280593,-47,-95,4,48
airport-extreme,1,senic-sandbox,3,1488280594,-48,-97,4,49
airport-extreme,1,senic-sandbox,3,1488280595,-48,-98,4,50
airport-extreme,1,senic-sandbox,3,1488280596,-48,-98,4,50
airport-extreme,1,senic-sandbox,3,1488280597,-47,-98,4,51
airport-extreme,1,senic-sandbox,3,1488280598,-47,-98,4,51
airport-extreme,1,senic-sandbox,3,1488280599,-47,-98,4,51
airport-extreme,1,senic-sandbox,3,1488280600,-46,-98,4,52
airport-extreme,1,senic-sandbox,3,1488280601,-46,-98,4,52
airport-extreme,1,senic-sandbox,3,1488280602,-46,-98,4,52
airport-extreme,1,senic-sandbox,3,1488280603,-45,-98,4,53
airport-extreme,1,senic-sandbox,3,1488280604,-45,-96,4,51
airport-extreme,1,senic-sandbox,3,1488280605,-45,-94,4,49
airport-extreme,1,senic-sandbox,4,1488280665,-49,-93,4,44
airport-extreme,1,senic-sandbox,4,1488280666,-49,-91,4,42
airport-extreme,1,senic-sandbox,4,1488280667,-49,-89,4,40
airport-extreme,1,senic-sandbox,4,1488280668,-49,-87,4,38
airport-extreme,1,senic-sandbox,4,1488280669,-49,-87,4,38
airport-extreme,1,senic-sandbox,4,1488280670,-49,-87,4,38
airport-extreme,1,senic-sandbox,4,1488280671,-49,-87,4,38
airport-extreme,1,senic-sandbox,4,1488280672,-48,-87,4,39
airport-extreme,1,senic-sandbox,4,1488280673,-48,-95,4,47
airport-extreme,1,senic-sandbox,4,1488280674,-48,-96,4,48
airport-extreme,1,senic-sandbox,4,1488280675,-48,-96,4,48
airport-extreme,1,senic-sandbox,4,1488280676,-48,-96,4,48
airport-extreme,1,senic-sandbox,4,1488280677,-48,-96,4,48
airport-extreme,1,senic-sandbox,4,1488280678,-49,-96,4,47
airport-extreme,1,senic-sandbox,4,1488280680,-49,-96,4,47
airport-extreme,1,senic-sandbox,4,1488280681,-48,-96,4,48
airport-extreme,1,senic-sandbox,4,1488280682,-48,-96,4,48
airport-extreme,1,senic-sandbox,4,1488280683,-48,-96,4,48
airport-extreme,1,senic-sandbox,4,1488280684,-48,-92,4,44
airport-extreme,1,senic-sandbox,4,1488280685,-47,-92,4,45
airport-extreme,1,senic-sandbox,4,1488280686,-47,-92,4,45
airport-extreme,1,senic-sandbox,4,1488280687,-47,-92,4,45
airport-extreme,1,senic-sandbox,4,1488280688,-48,-92,4,44
airport-extreme,1,senic-sandbox,4,1488280689,-48,-92,4,44
airport-extreme,1,senic-sandbox,4,1488280690,-48,-92,4,44
airport-extreme,1,senic-sandbox,4,1488280691,-48,-92,4,44
airport-extreme,1,senic-sandbox,4,1488280692,-48,-94,4,46
airport-extreme,1,senic-sandbox,4,1488280693,-48,-95,4,47
airport-extreme,1,senic-sandbox,4,1488280694,-48,-95,4,47
airport-extreme,1,senic-sandbox,4,1488280695,-47,-95,4,48
airport-extreme,1,senic-sandbox,4,1488280696,-47,-95,4,48
airport-extreme,1,senic-sandbox,5,1488280799,-48,-96,4,48
airport-extreme,1,senic-sandbox,5,1488280801,-49,-96,4,47
airport-extreme,1,senic-sandbox,5,1488280802,-49,-96,4,47
airport-extreme,1,senic-sandbox,5,1488280803,-50,-96,4,46
airport-extreme,1,senic-sandbox,5,1488280804,-50,-101,4,51
airport-extreme,1,senic-sandbox,5,1488280805,-50,-101,4,51
airport-extreme,1,senic-sandbox,5,1488280806,-51,-101,4,50
airport-extreme,1,senic-sandbox,5,1488280807,-57,-101,4,44
airport-extreme,1,senic-sandbox,5,1488280808,-55,-101,4,46
airport-extreme,1,senic-sandbox,5,1488280809,-55,-100,4,45
airport-extreme,1,senic-sandbox,5,1488280810,-55,-95,4,40
airport-extreme,1,senic-sandbox,5,1488280811,-54,-95,4,41
airport-extreme,1,senic-sandbox,5,1488280812,-53,-95,4,42
airport-extreme,1,senic-sandbox,5,1488280813,-52,-95,4,43
airport-extreme,1,senic-sandbox,5,1488280814,-52,-95,4,43
airport-extreme,1,senic-sandbox,5,1488280815,-52,-95,4,43
airport-extreme,1,senic-sandbox,5,1488280816,-50,-95,4,45
airport-extreme,1,senic-sandbox,5,1488280817,-50,-95,4,45
airport-extreme,1,senic-sandbox,5,1488280818,-49,-95,4,46
airport-extreme,1,senic-sandbox,5,1488280819,-49,-95,4,46
airport-extreme,1,senic-sandbox,5,1488280820,-49,-95,4,46
airport-extreme,1,senic-sandbox,5,1488280821,-49,-88,4,39
airport-extreme,1,senic-sandbox,5,1488280822,-49,-78,4,29
airport-extreme,1,senic-sandbox,5,1488280823,-49,-78,4,29
airport-extreme,1,senic-sandbox,5,1488280824,-50,-78,4,28
airport-extreme,1,senic-sandbox,5,1488280825,-50,-78,4,28
airport-extreme,1,senic-sandbox,5,1488280826,-50,-78,4,28
airport-extreme,1,senic-sandbox,5,1488280827,-50,-89,4,39
airport-extreme,1,senic-sandbox,5,1488280828,-50,-89,4,39
airport-extreme,1,senic-sandbox,5,1488280829,-50,-89,4,39
airport-extreme,1,senic-sandbox,5,1488280830,-50,-89,4,39
airport-extreme,1,senic-sandbox,6,1488280877,-48,-95,4,47
airport-extreme,1,senic-sandbox,6,1488280878,-48,-95,4,47
airport-extreme,1,senic-sandbox,6,1488280879,-48,-95,4,47
airport-extreme,1,senic-sandbox,6,1488280880,-47,-95,4,48
airport-extreme,1,senic-sandbox,6,1488280881,-47,-95,4,48
airport-extreme,1,senic-sandbox,6,1488280882,-47,-95,4,48
airport-extreme,1,senic-sandbox,6,1488280883,-47,-95,4,48
airport-extreme,1,senic-sandbox,6,1488280884,-48,-95,4,47
airport-extreme,1,senic-sandbox,6,1488280885,-48,-95,4,47
airport-extreme,1,senic-sandbox,6,1488280886,-48,-95,4,47
airport-extreme,1,senic-sandbox,6,1488280887,-48,-94,4,46
airport-extreme,1,senic-sandbox,6,1488280888,-48,-90,4,42
airport-extreme,1,senic-sandbox,6,1488280889,-48,-87,4,39
airport-extreme,1,senic-sandbox,6,1488280890,-48,-85,4,37
airport-extreme,1,senic-sandbox,6,1488280892,-48,-83,4,35
airport-extreme,1,senic-sandbox,6,1488280893,-48,-83,4,35
airport-extreme,1,senic-sandbox,6,1488280894,-48,-83,4,35
airport-extreme,1,senic-sandbox,6,1488280895,-48,-83,4,35
airport-extreme,1,senic-sandbox,6,1488280896,-48,-83,4,35
airport-extreme,1,senic-sandbox,6,1488280897,-47,-84,4,37
airport-extreme,1,senic-sandbox,6,1488280898,-47,-84,4,37
airport-extreme,1,senic-sandbox,6,1488280899,-47,-84,4,37
airport-extreme,1,senic-sandbox,6,1488280900,-46,-84,4,38
airport-extreme,1,senic-sandbox,6,1488280901,-47,-84,4,37
airport-extreme,1,senic-sandbox,6,1488280902,-47,-84,4,37
airport-extreme,1,senic-sandbox,6,1488280903,-47,-84,4,37
airport-extreme,1,senic-sandbox,6,1488280904,-47,-84,4,37
airport-extreme,1,senic-sandbox,6,1488280905,-47,-84,4,37
airport-extreme,1,senic-sandbox,6,1488280906,-50,-84,4,34
airport-extreme,1,senic-sandbox,6,1488280907,-50,-93,4,43
airport-extreme,1,senic-sandbox,6,1488280908,-51,-96,4,45
airport-extreme,1,senic-sandbox,7,1488280978,-51,-101,4,50
airport-extreme,1,senic-sandbox,7,1488280979,-50,-101,4,51
airport-extreme,1,senic-sandbox,7,1488280980,-50,-100,4,50
airport-extreme,1,senic-sandbox,7,1488280981,-50,-98,4,48
airport-extreme,1,senic-sandbox,7,1488280982,-50,-98,4,48
airport-extreme,1,senic-sandbox,7,1488280983,-50,-98,4,48
airport-extreme,1,senic-sandbox,7,1488280984,-49,-98,4,49
airport-extreme,1,senic-sandbox,7,1488280985,-48,-98,4,50
airport-extreme,1,senic-sandbox,7,1488280986,-48,-97,4,49
airport-extreme,1,senic-sandbox,7,1488280987,-48,-94,4,46
airport-extreme,1,senic-sandbox,7,1488280988,-48,-92,4,44
airport-extreme,1,senic-sandbox,7,1488280989,-48,-92,4,44
airport-extreme,1,senic-sandbox,7,1488280990,-48,-92,4,44
airport-extreme,1,senic-sandbox,7,1488280991,-48,-92,4,44
airport-extreme,1,senic-sandbox,7,1488280992,-48,-92,4,44
airport-extreme,1,senic-sandbox,7,1488280993,-49,-92,4,43
airport-extreme,1,senic-sandbox,7,1488280994,-49,-92,4,43
airport-extreme,1,senic-sandbox,7,1488280995,-49,-96,4,47
airport-extreme,1,senic-sandbox,7,1488280996,-49,-99,4,50
airport-extreme,1,senic-sandbox,7,1488280997,-49,-99,4,50
airport-extreme,1,senic-sandbox,7,1488280998,-49,-99,4,50
airport-extreme,1,senic-sandbox,7,1488280999,-49,-99,4,50
airport-extreme,1,senic-sandbox,7,1488281000,-49,-99,4,50
airport-extreme,1,senic-sandbox,7,1488281001,-49,-99,4,50
airport-extreme,1,senic-sandbox,7,1488281002,-49,-99,4,50
airport-extreme,1,senic-sandbox,7,1488281003,-49,-90,4,41
airport-extreme,1,senic-sandbox,7,1488281004,-49,-90,4,41
airport-extreme,1,senic-sandbox,7,1488281005,-49,-90,4,41
airport-extreme,1,senic-sandbox,7,1488281006,-49,-90,4,41
airport-extreme,1,senic-sandbox,7,1488281008,-49,-90,4,41
airport-extreme,1,senic-sandbox,7,1488281009,-49,-90,4,41
airport-extreme,1,senic-sandbox,8,1488281089,-54,-94,4,40
airport-extreme,1,senic-sandbox,8,1488281090,-55,-92,4,37
airport-extreme,1,senic-sandbox,8,1488281091,-55,-92,4,37
airport-extreme,1,senic-sandbox,8,1488281092,-55,-97,4,42
airport-extreme,1,senic-sandbox,8,1488281093,-55,-101,4,46
airport-extreme,1,senic-sandbox,8,1488281094,-56,-101,4,45
airport-extreme,1,senic-sandbox,8,1488281095,-56,-101,4,45
airport-extreme,1,senic-sandbox,8,1488281096,-56,-101,4,45
airport-extreme,1,senic-sandbox,8,1488281097,-56,-101,4,45
