nic,antenna,ssid,distance,timestamp,ping_packet_size,ping_loss,ping_min,ping_avg,ping_max,ping_mdev
ampak-ap6212,3,senic-sandbox,0,1488553087,64,0,7.533,13.831,55.341,9.162
ampak-ap6212,3,senic-sandbox,0,1488553102,1024,10,9.717,49.794,108.528,31.017
ampak-ap6212,3,senic-sandbox,1,1488553195,64,0,9.651,59.971,108.631,26.085
ampak-ap6212,3,senic-sandbox,1,1488553209,1024,0,9.196,32.539,70.866,20.986
ampak-ap6212,3,senic-sandbox,2,1488553277,64,0,7.815,20.442,153.597,26.056
ampak-ap6212,3,senic-sandbox,2,1488553292,1024,0,8.950,16.403,49.203,8.761
ampak-ap6212,3,senic-sandbox,3,1488553357,64,0,8.144,14.920,69.887,11.214
ampak-ap6212,3,senic-sandbox,3,1488553372,1024,0,8.950,27.926,65.673,19.017
ampak-ap6212,3,senic-sandbox,4,1488553443,64,0,9.689,47.214,120.233,33.699
ampak-ap6212,3,senic-sandbox,4,1488553458,1024,3,9.938,27.326,108.439,24.548
ampak-ap6212,3,senic-sandbox,5,1488553529,64,0,7.996,21.153,107.162,23.873
ampak-ap6212,3,senic-sandbox,5,1488553543,1024,0,8.421,16.246,35.342,6.485
ampak-ap6212,3,senic-sandbox,6,1488553609,64,6,8.098,26.827,124.461,30.797
ampak-ap6212,3,senic-sandbox,6,1488553624,1024,3,8.999,31.700,119.300,30.145
ampak-ap6212,3,senic-sandbox,7,1488553689,64,0,9.045,39.538,115.281,32.142
ampak-ap6212,3,senic-sandbox,7,1488553704,1024,10,10.482,28.332,111.615,27.699
ampak-ap6212,3,senic-sandbox,8,1488553768,64,0,9.448,30.475,73.329,19.796
ampak-ap6212,3,senic-sandbox,8,1488553783,1024,0,9.526,28.024,95.805,20.276
ampak-ap6212,3,senic-sandbox,9,1488553847,64,16,8.329,48.046,378.240,76.793
ampak-ap6212,3,senic-sandbox,9,1488553873,1024,3,8.951,41.149,241.280,51.825
ampak-ap6212,3,senic-sandbox,10,1488553956,1024,36,10.847,33.297,210.621,43.468
ampak-ap6212,3,senic-sandbox,11,1488554035,64,3,8.499,31.224,111.596,33.649
ampak-ap6212,3,senic-sandbox,11,1488554050,1024,0,9.691,27.817,86.469,21.121
ampak-ap6212,3,senic-sandbox,12,1488554122,64,20,8.721,56.237,318.651,70.466
