nic,antenna,ssid,distance,timestamp,ping_packet_size,ping_loss,ping_min,ping_avg,ping_max,ping_mdev
ampak-ap6212,1,senic-sandbox,0,1488364139,64,0,8.005,12.330,34.082,5.353
ampak-ap6212,1,senic-sandbox,0,1488364153,1024,0,9.421,12.973,35.692,6.001
ampak-ap6212,1,senic-sandbox,1,1488364215,64,0,7.553,12.751,35.236,5.805
ampak-ap6212,1,senic-sandbox,1,1488364230,1024,0,8.581,14.892,38.607,7.452
ampak-ap6212,1,senic-sandbox,2,1488364345,64,0,7.865,17.707,121.955,21.011
ampak-ap6212,1,senic-sandbox,2,1488364360,1024,0,9.121,20.709,84.327,15.745
ampak-ap6212,1,senic-sandbox,3,1488364490,64,0,7.514,15.749,77.040,12.836
ampak-ap6212,1,senic-sandbox,3,1488364510,1024,10,8.730,14.615,44.833,7.515
ampak-ap6212,1,senic-sandbox,4,1488364593,64,3,8.125,17.393,82.749,14.213
ampak-ap6212,1,senic-sandbox,4,1488364613,1024,3,11.107,19.180,31.805,5.382
ampak-ap6212,1,senic-sandbox,5,1488364699,64,0,7.664,18.445,44.095,8.694
ampak-ap6212,1,senic-sandbox,5,1488364714,1024,0,11.652,21.413,58.580,10.224
ampak-ap6212,1,senic-sandbox,6,1488364822,64,0,8.049,14.389,24.717,4.746
ampak-ap6212,1,senic-sandbox,6,1488364837,1024,0,9.638,17.036,51.323,8.969
ampak-ap6212,1,senic-sandbox,7,1488364975,64,10,7.984,18.366,79.454,14.952
ampak-ap6212,1,senic-sandbox,7,1488364990,1024,33,9.772,38.961,289.123,60.518
ampak-ap6212,1,senic-sandbox,8,1488365116,64,90,15.028,23.160,33.871,7.906
ampak-ap6212,1,senic-sandbox,8,1488365141,1024,0,12.466,29.937,57.484,10.331
ampak-ap6212,1,senic-sandbox,9,1488365208,64,0,9.253,62.377,235.887,60.032
ampak-ap6212,1,senic-sandbox,9,1488365223,1024,0,11.414,23.442,71.653,11.753
ampak-ap6212,1,senic-sandbox,10,1488365377,64,6,9.363,20.539,70.435,13.077
ampak-ap6212,1,senic-sandbox,10,1488365392,1024,10,13.330,32.050,94.213,17.207
ampak-ap6212,1,senic-sandbox,11,1488365535,64,0,8.156,14.741,48.539,7.961
ampak-ap6212,1,senic-sandbox,11,1488365549,1024,33,11.912,31.278,207.347,41.809
ampak-ap6212,1,senic-sandbox,12,1488365621,64,0,10.230,19.582,83.937,13.872
ampak-ap6212,1,senic-sandbox,12,1488365636,1024,26,12.155,26.429,73.341,14.597
ampak-ap6212,2,senic-sandbox,11,1488365905,64,0,10.147,22.544,73.657,11.571
ampak-ap6212,2,senic-sandbox,11,1488365920,1024,13,23.682,53.141,115.395,26.200
ampak-ap6212,2,senic-sandbox,12,1488366062,64,3,10.943,25.085,48.161,10.695
ampak-ap6212,2,senic-sandbox,12,1488366077,1024,0,21.530,33.858,100.882,14.706
ampak-ap6212,2,senic-sandbox,10,1488366180,64,0,8.767,16.191,36.022,7.158
ampak-ap6212,2,senic-sandbox,10,1488366195,1024,6,10.887,18.427,75.181,12.271
ampak-ap6212,2,senic-sandbox,9,1488366371,64,30,8.066,19.029,61.281,14.476
ampak-ap6212,2,senic-sandbox,9,1488366386,1024,0,11.260,19.862,52.108,10.637
ampak-ap6212,2,senic-sandbox,8,1488369869,64,0,7.537,25.537,248.557,42.392
ampak-ap6212,2,senic-sandbox,8,1488369884,1024,0,10.016,18.581,45.860,7.480
ampak-ap6212,2,senic-sandbox,7,1488369947,64,0,7.942,13.820,27.301,5.319
ampak-ap6212,2,senic-sandbox,7,1488369962,1024,0,9.911,26.455,198.196,35.262
ampak-ap6212,2,senic-sandbox,6,1488370027,64,0,8.525,18.035,53.734,8.810
ampak-ap6212,2,senic-sandbox,6,1488370042,1024,0,9.211,19.361,58.109,10.592
ampak-ap6212,2,senic-sandbox,5,1488370111,64,0,7.664,16.230,26.331,5.341
ampak-ap6212,2,senic-sandbox,5,1488370125,1024,0,9.152,15.605,39.667,6.384
ampak-ap6212,2,senic-sandbox,4,1488370243,64,0,7.499,12.998,30.864,5.616
ampak-ap6212,2,senic-sandbox,4,1488370258,1024,0,9.237,17.420,46.628,8.051
ampak-ap6212,2,senic-sandbox,3,1488370320,64,0,7.581,14.026,36.729,5.748
ampak-ap6212,2,senic-sandbox,3,1488370335,1024,0,8.393,18.415,74.688,12.862
ampak-ap6212,2,senic-sandbox,2,1488370393,64,0,7.652,12.728,25.753,4.613
ampak-ap6212,2,senic-sandbox,2,1488370408,1024,0,8.589,14.733,42.435,6.565
ampak-ap6212,2,senic-sandbox,1,1488370470,64,3,7.252,13.848,29.788,6.464
ampak-ap6212,2,senic-sandbox,1,1488370485,1024,0,8.532,26.613,175.969,36.417
ampak-ap6212,2,senic-sandbox,0,1488370576,64,0,8.060,19.582,174.212,29.105
ampak-ap6212,2,senic-sandbox,0,1488370590,1024,0,8.733,15.403,28.314,5.962
