nic,antenna,distance,notify_count,timestamp
csr-8510,1,0,100,1489068551
csr-8510,1,1,100,1489068630
csr-8510,1,2,100,1489068700
csr-8510,1,3,100,1489068761
csr-8510,1,4,100,1489068831
csr-8510,1,5,0,1489068895
csr-8510,1,6,100,1489068958
csr-8510,1,5,0,1489069087
csr-8510,1,5,0,1489069210
csr-8510,1,7,49,1489069283
csr-8510,1,7,0,1489069373
csr-8510,1,8,100,1489069454
csr-8510,1,9,24,1489069538
csr-8510,1,9,28,1489069623
csr-8510,1,10,0,1489069898
csr-8510,1,10,0,1489070278
csr-8510,1,11,0,1489070370
csr-8510,1,11,24,1489070558
