nic,antenna,distance,rssi,timestamp
csr-8510,1,0,-69,1489068500
csr-8510,1,1,-73,1489068580
csr-8510,1,2,-74,1489068649
csr-8510,1,3,-69,1489068710
csr-8510,1,4,-76,1489068781
csr-8510,1,5,-79,1489068846
csr-8510,1,6,-76,1489068907
csr-8510,1,5,-76,1489069037
csr-8510,1,5,-74,1489069160
csr-8510,1,7,-78,1489069233
csr-8510,1,7,-81,1489069323
csr-8510,1,8,-76,1489069403
csr-8510,1,9,-86,1489069488
csr-8510,1,9,-82,1489069563
csr-8510,1,10,-82,1489069849
csr-8510,1,10,-80,1489070229
csr-8510,1,11,-86,1489070320
csr-8510,1,11,-82,1489070507
