nic,antenna,ssid,distance,timestamp,ping_packet_size,ping_loss,ping_min,ping_avg,ping_max,ping_mdev
mediatek-mt7610u,1,senic-sandbox,0,1489156692,64,0,7.664,13.629,24.228,4.763
mediatek-mt7610u,1,senic-sandbox,0,1489156707,1024,0,8.191,17.142,46.896,8.312
mediatek-mt7610u,1,senic-sandbox,1,1489156798,64,0,6.879,14.421,34.017,6.638
mediatek-mt7610u,1,senic-sandbox,1,1489156812,1024,0,7.817,14.147,28.104,5.040
mediatek-mt7610u,1,senic-sandbox,2,1489156873,64,0,6.939,14.571,67.466,12.954
mediatek-mt7610u,1,senic-sandbox,2,1489156888,1024,0,8.729,16.198,30.723,5.245
mediatek-mt7610u,1,senic-sandbox,3,1489156953,64,0,6.783,12.702,22.218,4.392
mediatek-mt7610u,1,senic-sandbox,3,1489156968,1024,0,8.125,12.537,22.648,3.652
mediatek-mt7610u,1,senic-sandbox,4,1489157030,64,0,6.696,14.101,25.042,5.129
mediatek-mt7610u,1,senic-sandbox,4,1489157045,1024,0,8.094,14.156,22.336,4.508
mediatek-mt7610u,1,senic-sandbox,5,1489157115,64,0,7.094,13.865,40.966,6.297
mediatek-mt7610u,1,senic-sandbox,5,1489157129,1024,3,8.378,20.859,104.680,22.079
mediatek-mt7610u,1,senic-sandbox,6,1489157193,64,0,6.659,14.532,69.561,11.608
mediatek-mt7610u,1,senic-sandbox,6,1489157208,1024,0,7.890,15.537,36.746,8.016
mediatek-mt7610u,1,senic-sandbox,7,1489157266,64,0,6.556,14.495,44.926,7.955
mediatek-mt7610u,1,senic-sandbox,7,1489157280,1024,0,8.271,14.920,30.217,5.669
mediatek-mt7610u,1,senic-sandbox,8,1489157342,64,0,7.862,14.735,30.904,5.817
mediatek-mt7610u,1,senic-sandbox,8,1489157357,1024,0,8.663,13.939,28.030,4.406
mediatek-mt7610u,1,senic-sandbox,9,1489157417,64,0,6.681,13.196,20.490,3.784
mediatek-mt7610u,1,senic-sandbox,9,1489157432,1024,0,8.566,13.376,23.123,3.798
mediatek-mt7610u,1,senic-sandbox,10,1489157493,64,0,6.712,14.708,40.364,7.726
mediatek-mt7610u,1,senic-sandbox,10,1489157508,1024,0,8.356,15.109,26.274,5.302
mediatek-mt7610u,1,senic-sandbox,11,1489157574,64,0,7.586,14.393,27.342,5.607
mediatek-mt7610u,1,senic-sandbox,11,1489157589,1024,0,7.977,14.338,26.337,4.912
mediatek-mt7610u,1,senic-sandbox,12,1489157659,64,0,6.687,16.935,46.107,8.855
mediatek-mt7610u,1,senic-sandbox,12,1489157673,1024,6,8.000,31.882,329.336,61.175
