nic,antenna,ssid,distance,timestamp,rssi,link_quality,channel,link_quality_in_percentage
mediatek-mt7610u,1,senic-sandbox,0,1490015592,-37,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015593,-37,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015594,-41,69,4,98
mediatek-mt7610u,1,senic-sandbox,0,1490015595,-35,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015596,-35,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015597,-37,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015598,-35,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015599,-35,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015600,-35,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015601,-35,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015602,-37,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015603,-35,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015604,-39,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015605,-35,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015607,-37,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015608,-39,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015609,-37,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015610,-39,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015611,-39,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015612,-37,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015613,-37,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015614,-37,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015615,-37,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015616,-35,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015617,-35,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015618,-35,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015619,-37,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015620,-37,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1490015621,-35,70,4,100
