nic,antenna,ssid,distance,timestamp,rssi
mt7610,0,senic-sandbox,0,1493905149,-43
mt7610,0,senic-sandbox,0,1493905150,-43
mt7610,0,senic-sandbox,0,1493905151,-45
mt7610,0,senic-sandbox,0,1493905152,-43
mt7610,0,senic-sandbox,0,1493905153,-45
mt7610,0,senic-sandbox,0,1493905154,-43
mt7610,0,senic-sandbox,0,1493905155,-45
mt7610,0,senic-sandbox,0,1493905156,-43
mt7610,0,senic-sandbox,0,1493905157,-43
mt7610,0,senic-sandbox,0,1493905158,-45
mt7610,0,senic-sandbox,0,1493905159,-43
mt7610,0,senic-sandbox,0,1493905160,-33
mt7610,0,senic-sandbox,0,1493905161,-33
mt7610,0,senic-sandbox,0,1493905162,-45
mt7610,0,senic-sandbox,0,1493905164,-43
mt7610,0,senic-sandbox,0,1493905165,-45
mt7610,0,senic-sandbox,0,1493905166,-45
mt7610,0,senic-sandbox,0,1493905167,-45
mt7610,0,senic-sandbox,0,1493905168,-45
mt7610,0,senic-sandbox,0,1493905169,-43
mt7610,0,senic-sandbox,0,1493905170,-43
mt7610,0,senic-sandbox,1,1493905372,-39
mt7610,0,senic-sandbox,1,1493905373,-39
mt7610,0,senic-sandbox,1,1493905374,-43
mt7610,0,senic-sandbox,1,1493905375,-39
mt7610,0,senic-sandbox,1,1493905376,-43
mt7610,0,senic-sandbox,1,1493905377,-39
mt7610,0,senic-sandbox,1,1493905378,-45
mt7610,0,senic-sandbox,1,1493905379,-43
mt7610,0,senic-sandbox,1,1493905380,-39
mt7610,0,senic-sandbox,1,1493905381,-41
mt7610,0,senic-sandbox,1,1493905382,-39
mt7610,0,senic-sandbox,1,1493905383,-39
mt7610,0,senic-sandbox,1,1493905384,-39
mt7610,0,senic-sandbox,1,1493905385,-39
mt7610,0,senic-sandbox,1,1493905387,-39
mt7610,0,senic-sandbox,1,1493905388,-39
mt7610,0,senic-sandbox,1,1493905389,-39
mt7610,0,senic-sandbox,1,1493905390,-39
mt7610,0,senic-sandbox,1,1493905391,-39
mt7610,0,senic-sandbox,1,1493905392,-39
mt7610,0,senic-sandbox,1,1493905393,-39
mt7610,0,senic-sandbox,2,1493905634,-63
mt7610,0,senic-sandbox,2,1493905635,-67
mt7610,0,senic-sandbox,2,1493905636,-53
mt7610,0,senic-sandbox,2,1493905637,-53
mt7610,0,senic-sandbox,2,1493905638,-47
mt7610,0,senic-sandbox,2,1493905639,-53
mt7610,0,senic-sandbox,2,1493905641,-53
mt7610,0,senic-sandbox,2,1493905642,-49
mt7610,0,senic-sandbox,2,1493905643,-53
mt7610,0,senic-sandbox,2,1493905644,-49
mt7610,0,senic-sandbox,2,1493905645,-51
mt7610,0,senic-sandbox,2,1493905646,-47
mt7610,0,senic-sandbox,2,1493905647,-51
mt7610,0,senic-sandbox,2,1493905648,-51
mt7610,0,senic-sandbox,2,1493905649,-49
mt7610,0,senic-sandbox,2,1493905650,-49
mt7610,0,senic-sandbox,2,1493905651,-55
mt7610,0,senic-sandbox,2,1493905652,-49
mt7610,0,senic-sandbox,2,1493905653,-49
mt7610,0,senic-sandbox,2,1493905654,-47
mt7610,0,senic-sandbox,2,1493905655,-47
mt7610,0,senic-sandbox,3,1493905780,-49
mt7610,0,senic-sandbox,3,1493905781,-45
mt7610,0,senic-sandbox,3,1493905782,-49
mt7610,0,senic-sandbox,3,1493905783,-49
mt7610,0,senic-sandbox,3,1493905784,-45
mt7610,0,senic-sandbox,3,1493905785,-45
mt7610,0,senic-sandbox,3,1493905786,-47
mt7610,0,senic-sandbox,3,1493905787,-47
mt7610,0,senic-sandbox,3,1493905788,-45
mt7610,0,senic-sandbox,3,1493905789,-47
mt7610,0,senic-sandbox,3,1493905790,-47
mt7610,0,senic-sandbox,3,1493905791,-45
mt7610,0,senic-sandbox,3,1493905792,-47
mt7610,0,senic-sandbox,3,1493905793,-45
mt7610,0,senic-sandbox,3,1493905795,-49
mt7610,0,senic-sandbox,3,1493905796,-49
