nic,antenna,ssid,distance,timestamp,ping_packet_size,ping_loss,ping_min,ping_avg,ping_max,ping_mdev
ralink-rt5370,1,senic-sandbox,12,1489158030,64,6,7.523,16.193,55.256,9.778
ralink-rt5370,1,senic-sandbox,12,1489158045,1024,6,10.707,23.677,65.807,11.465
ralink-rt5370,1,senic-sandbox,11,1489158117,64,6,7.023,15.410,36.017,6.958
ralink-rt5370,1,senic-sandbox,11,1489158132,1024,3,9.623,21.770,74.022,15.125
ralink-rt5370,1,senic-sandbox,10,1489158207,64,3,6.928,14.182,32.911,5.699
ralink-rt5370,1,senic-sandbox,10,1489158223,1024,6,9.737,26.300,69.000,13.377
ralink-rt5370,1,senic-sandbox,9,1489158302,64,3,7.297,13.455,34.269,6.431
ralink-rt5370,1,senic-sandbox,9,1489158317,1024,3,9.895,16.218,26.842,4.013
ralink-rt5370,1,senic-sandbox,8,1489158382,64,6,6.940,13.669,28.440,5.591
ralink-rt5370,1,senic-sandbox,8,1489158397,1024,6,10.228,19.248,72.028,12.483
ralink-rt5370,1,senic-sandbox,7,1489158459,64,16,6.911,10.707,19.237,3.601
ralink-rt5370,1,senic-sandbox,7,1489158474,1024,23,11.441,21.493,45.003,9.582
ralink-rt5370,1,senic-sandbox,6,1489158541,64,3,6.864,11.750,33.901,5.386
ralink-rt5370,1,senic-sandbox,6,1489158556,1024,0,9.506,15.803,27.137,4.198
ralink-rt5370,1,senic-sandbox,5,1489158632,64,16,6.779,9.683,24.541,3.397
ralink-rt5370,1,senic-sandbox,5,1489158647,1024,0,8.114,14.318,28.454,5.117
ralink-rt5370,1,senic-sandbox,4,1489158709,64,43,6.347,11.496,18.918,3.612
ralink-rt5370,1,senic-sandbox,4,1489158725,1024,60,8.522,30.831,129.962,40.125
ralink-rt5370,1,senic-sandbox,3,1489158813,1024,20,9.072,13.090,23.306,3.422
ralink-rt5370,1,senic-sandbox,2,1489158884,64,6,6.758,10.446,15.334,2.637
ralink-rt5370,1,senic-sandbox,2,1489158899,1024,6,7.690,12.012,19.336,2.934
ralink-rt5370,1,senic-sandbox,1,1489158959,64,3,6.637,11.356,18.411,3.138
ralink-rt5370,1,senic-sandbox,1,1489158975,1024,0,7.606,11.385,21.226,3.578
ralink-rt5370,1,senic-sandbox,0,1489159035,64,3,7.611,12.306,26.057,4.205
ralink-rt5370,1,senic-sandbox,0,1489159050,1024,0,7.796,12.751,18.870,3.233
