nic,antenna,ssid,distance,timestamp,rssi,link_quality,channel,link_quality_in_percentage
ralink-rt5370,1,senic-sandbox,12,1489157997,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489157998,-65,45,4,64
ralink-rt5370,1,senic-sandbox,12,1489157999,-65,45,4,64
ralink-rt5370,1,senic-sandbox,12,1489158000,-63,47,4,67
ralink-rt5370,1,senic-sandbox,12,1489158001,-65,45,4,64
ralink-rt5370,1,senic-sandbox,12,1489158002,-65,45,4,64
ralink-rt5370,1,senic-sandbox,12,1489158004,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489158005,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489158006,-65,45,4,64
ralink-rt5370,1,senic-sandbox,12,1489158007,-63,47,4,67
ralink-rt5370,1,senic-sandbox,12,1489158008,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489158009,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489158010,-65,45,4,64
ralink-rt5370,1,senic-sandbox,12,1489158011,-65,45,4,64
ralink-rt5370,1,senic-sandbox,12,1489158012,-71,39,4,55
ralink-rt5370,1,senic-sandbox,12,1489158013,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489158014,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489158015,-65,45,4,64
ralink-rt5370,1,senic-sandbox,12,1489158016,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489158017,-65,45,4,64
ralink-rt5370,1,senic-sandbox,12,1489158018,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489158019,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489158021,-69,41,4,58
ralink-rt5370,1,senic-sandbox,12,1489158022,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489158023,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489158024,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489158025,-65,45,4,64
ralink-rt5370,1,senic-sandbox,12,1489158026,-65,45,4,64
ralink-rt5370,1,senic-sandbox,12,1489158027,-69,41,4,58
ralink-rt5370,1,senic-sandbox,12,1489158028,-67,43,4,61
ralink-rt5370,1,senic-sandbox,12,1489158029,-67,43,4,61
ralink-rt5370,1,senic-sandbox,11,1489158084,-65,45,4,64
ralink-rt5370,1,senic-sandbox,11,1489158085,-67,43,4,61
ralink-rt5370,1,senic-sandbox,11,1489158086,-73,37,4,52
ralink-rt5370,1,senic-sandbox,11,1489158087,-67,43,4,61
ralink-rt5370,1,senic-sandbox,11,1489158088,-67,43,4,61
ralink-rt5370,1,senic-sandbox,11,1489158090,-65,45,4,64
ralink-rt5370,1,senic-sandbox,11,1489158091,-67,43,4,61
ralink-rt5370,1,senic-sandbox,11,1489158092,-67,43,4,61
ralink-rt5370,1,senic-sandbox,11,1489158093,-69,41,4,58
ralink-rt5370,1,senic-sandbox,11,1489158094,-71,39,4,55
ralink-rt5370,1,senic-sandbox,11,1489158095,-65,45,4,64
ralink-rt5370,1,senic-sandbox,11,1489158096,-67,43,4,61
ralink-rt5370,1,senic-sandbox,11,1489158097,-65,45,4,64
ralink-rt5370,1,senic-sandbox,11,1489158098,-65,45,4,64
ralink-rt5370,1,senic-sandbox,11,1489158099,-69,41,4,58
ralink-rt5370,1,senic-sandbox,11,1489158100,-69,41,4,58
ralink-rt5370,1,senic-sandbox,11,1489158101,-75,35,4,50
ralink-rt5370,1,senic-sandbox,11,1489158102,-67,43,4,61
ralink-rt5370,1,senic-sandbox,11,1489158103,-65,45,4,64
ralink-rt5370,1,senic-sandbox,11,1489158104,-65,45,4,64
ralink-rt5370,1,senic-sandbox,11,1489158105,-67,43,4,61
ralink-rt5370,1,senic-sandbox,11,1489158106,-65,45,4,64
ralink-rt5370,1,senic-sandbox,11,1489158107,-63,47,4,67
ralink-rt5370,1,senic-sandbox,11,1489158109,-63,47,4,67
ralink-rt5370,1,senic-sandbox,11,1489158110,-61,49,4,70
ralink-rt5370,1,senic-sandbox,11,1489158111,-63,47,4,67
ralink-rt5370,1,senic-sandbox,11,1489158112,-63,47,4,67
ralink-rt5370,1,senic-sandbox,11,1489158113,-65,45,4,64
ralink-rt5370,1,senic-sandbox,11,1489158114,-61,49,4,70
ralink-rt5370,1,senic-sandbox,11,1489158115,-63,47,4,67
ralink-rt5370,1,senic-sandbox,11,1489158116,-61,49,4,70
ralink-rt5370,1,senic-sandbox,10,1489158174,-59,51,4,72
ralink-rt5370,1,senic-sandbox,10,1489158175,-59,51,4,72
ralink-rt5370,1,senic-sandbox,10,1489158176,-61,49,4,70
ralink-rt5370,1,senic-sandbox,10,1489158177,-65,45,4,64
ralink-rt5370,1,senic-sandbox,10,1489158178,-65,45,4,64
ralink-rt5370,1,senic-sandbox,10,1489158179,-59,51,4,72
ralink-rt5370,1,senic-sandbox,10,1489158180,-59,51,4,72
ralink-rt5370,1,senic-sandbox,10,1489158181,-63,47,4,67
ralink-rt5370,1,senic-sandbox,10,1489158182,-69,41,4,58
ralink-rt5370,1,senic-sandbox,10,1489158183,-69,41,4,58
ralink-rt5370,1,senic-sandbox,10,1489158184,-59,51,4,72
ralink-rt5370,1,senic-sandbox,10,1489158185,-63,47,4,67
ralink-rt5370,1,senic-sandbox,10,1489158187,-65,45,4,64
ralink-rt5370,1,senic-sandbox,10,1489158188,-61,49,4,70
ralink-rt5370,1,senic-sandbox,10,1489158189,-67,43,4,61
ralink-rt5370,1,senic-sandbox,10,1489158190,-61,49,4,70
ralink-rt5370,1,senic-sandbox,10,1489158191,-63,47,4,67
ralink-rt5370,1,senic-sandbox,10,1489158192,-61,49,4,70
ralink-rt5370,1,senic-sandbox,10,1489158193,-61,49,4,70
ralink-rt5370,1,senic-sandbox,10,1489158194,-63,47,4,67
ralink-rt5370,1,senic-sandbox,10,1489158195,-59,51,4,72
ralink-rt5370,1,senic-sandbox,10,1489158196,-57,53,4,75
ralink-rt5370,1,senic-sandbox,10,1489158197,-57,53,4,75
ralink-rt5370,1,senic-sandbox,10,1489158198,-61,49,4,70
ralink-rt5370,1,senic-sandbox,10,1489158199,-61,49,4,70
ralink-rt5370,1,senic-sandbox,10,1489158200,-61,49,4,70
ralink-rt5370,1,senic-sandbox,10,1489158201,-59,51,4,72
ralink-rt5370,1,senic-sandbox,10,1489158202,-61,49,4,70
ralink-rt5370,1,senic-sandbox,10,1489158203,-59,51,4,72
ralink-rt5370,1,senic-sandbox,10,1489158204,-59,51,4,72
ralink-rt5370,1,senic-sandbox,10,1489158205,-61,49,4,70
ralink-rt5370,1,senic-sandbox,9,1489158269,-57,53,4,75
ralink-rt5370,1,senic-sandbox,9,1489158270,-57,53,4,75
ralink-rt5370,1,senic-sandbox,9,1489158271,-61,49,4,70
ralink-rt5370,1,senic-sandbox,9,1489158272,-59,51,4,72
ralink-rt5370,1,senic-sandbox,9,1489158274,-57,53,4,75
ralink-rt5370,1,senic-sandbox,9,1489158275,-57,53,4,75
ralink-rt5370,1,senic-sandbox,9,1489158276,-57,53,4,75
ralink-rt5370,1,senic-sandbox,9,1489158277,-59,51,4,72
ralink-rt5370,1,senic-sandbox,9,1489158278,-59,51,4,72
ralink-rt5370,1,senic-sandbox,9,1489158279,-61,49,4,70
ralink-rt5370,1,senic-sandbox,9,1489158280,-59,51,4,72
ralink-rt5370,1,senic-sandbox,9,1489158281,-63,47,4,67
ralink-rt5370,1,senic-sandbox,9,1489158282,-55,55,4,78
ralink-rt5370,1,senic-sandbox,9,1489158283,-59,51,4,72
ralink-rt5370,1,senic-sandbox,9,1489158284,-59,51,4,72
ralink-rt5370,1,senic-sandbox,9,1489158285,-63,47,4,67
ralink-rt5370,1,senic-sandbox,9,1489158286,-57,53,4,75
ralink-rt5370,1,senic-sandbox,9,1489158287,-57,53,4,75
ralink-rt5370,1,senic-sandbox,9,1489158288,-59,51,4,72
ralink-rt5370,1,senic-sandbox,9,1489158289,-57,53,4,75
ralink-rt5370,1,senic-sandbox,9,1489158290,-59,51,4,72
ralink-rt5370,1,senic-sandbox,9,1489158291,-59,51,4,72
ralink-rt5370,1,senic-sandbox,9,1489158292,-55,55,4,78
ralink-rt5370,1,senic-sandbox,9,1489158294,-61,49,4,70
ralink-rt5370,1,senic-sandbox,9,1489158295,-59,51,4,72
ralink-rt5370,1,senic-sandbox,9,1489158296,-59,51,4,72
ralink-rt5370,1,senic-sandbox,9,1489158297,-57,53,4,75
ralink-rt5370,1,senic-sandbox,9,1489158298,-57,53,4,75
ralink-rt5370,1,senic-sandbox,9,1489158299,-59,51,4,72
ralink-rt5370,1,senic-sandbox,9,1489158300,-59,51,4,72
ralink-rt5370,1,senic-sandbox,9,1489158301,-57,53,4,75
ralink-rt5370,1,senic-sandbox,8,1489158349,-59,51,4,72
ralink-rt5370,1,senic-sandbox,8,1489158350,-57,53,4,75
ralink-rt5370,1,senic-sandbox,8,1489158351,-61,49,4,70
ralink-rt5370,1,senic-sandbox,8,1489158352,-57,53,4,75
ralink-rt5370,1,senic-sandbox,8,1489158353,-59,51,4,72
ralink-rt5370,1,senic-sandbox,8,1489158355,-55,55,4,78
ralink-rt5370,1,senic-sandbox,8,1489158356,-59,51,4,72
ralink-rt5370,1,senic-sandbox,8,1489158357,-57,53,4,75
ralink-rt5370,1,senic-sandbox,8,1489158358,-59,51,4,72
ralink-rt5370,1,senic-sandbox,8,1489158359,-53,57,4,81
ralink-rt5370,1,senic-sandbox,8,1489158360,-57,53,4,75
ralink-rt5370,1,senic-sandbox,8,1489158361,-63,47,4,67
ralink-rt5370,1,senic-sandbox,8,1489158362,-67,43,4,61
ralink-rt5370,1,senic-sandbox,8,1489158363,-57,53,4,75
ralink-rt5370,1,senic-sandbox,8,1489158364,-55,55,4,78
ralink-rt5370,1,senic-sandbox,8,1489158365,-59,51,4,72
ralink-rt5370,1,senic-sandbox,8,1489158366,-63,47,4,67
ralink-rt5370,1,senic-sandbox,8,1489158367,-55,55,4,78
ralink-rt5370,1,senic-sandbox,8,1489158368,-55,55,4,78
ralink-rt5370,1,senic-sandbox,8,1489158369,-57,53,4,75
ralink-rt5370,1,senic-sandbox,8,1489158371,-57,53,4,75
ralink-rt5370,1,senic-sandbox,8,1489158372,-57,53,4,75
ralink-rt5370,1,senic-sandbox,8,1489158373,-55,55,4,78
ralink-rt5370,1,senic-sandbox,8,1489158374,-55,55,4,78
ralink-rt5370,1,senic-sandbox,8,1489158375,-55,55,4,78
ralink-rt5370,1,senic-sandbox,8,1489158376,-61,49,4,70
ralink-rt5370,1,senic-sandbox,8,1489158377,-55,55,4,78
ralink-rt5370,1,senic-sandbox,8,1489158378,-59,51,4,72
ralink-rt5370,1,senic-sandbox,8,1489158379,-57,53,4,75
ralink-rt5370,1,senic-sandbox,8,1489158380,-61,49,4,70
ralink-rt5370,1,senic-sandbox,8,1489158381,-57,53,4,75
ralink-rt5370,1,senic-sandbox,7,1489158426,-49,61,4,87
ralink-rt5370,1,senic-sandbox,7,1489158427,-55,55,4,78
ralink-rt5370,1,senic-sandbox,7,1489158428,-49,61,4,87
ralink-rt5370,1,senic-sandbox,7,1489158429,-51,59,4,84
ralink-rt5370,1,senic-sandbox,7,1489158430,-49,61,4,87
ralink-rt5370,1,senic-sandbox,7,1489158431,-51,59,4,84
ralink-rt5370,1,senic-sandbox,7,1489158432,-51,59,4,84
ralink-rt5370,1,senic-sandbox,7,1489158433,-51,59,4,84
ralink-rt5370,1,senic-sandbox,7,1489158435,-51,59,4,84
ralink-rt5370,1,senic-sandbox,7,1489158436,-51,59,4,84
ralink-rt5370,1,senic-sandbox,7,1489158437,-51,59,4,84
ralink-rt5370,1,senic-sandbox,7,1489158438,-49,61,4,87
ralink-rt5370,1,senic-sandbox,7,1489158439,-49,61,4,87
ralink-rt5370,1,senic-sandbox,7,1489158440,-51,59,4,84
ralink-rt5370,1,senic-sandbox,7,1489158441,-51,59,4,84
ralink-rt5370,1,senic-sandbox,7,1489158442,-49,61,4,87
