nic,antenna,ssid,distance,timestamp,ping_packet_size,ping_loss,ping_min,ping_avg,ping_max,ping_mdev
realtek-rtl8188eu,1,senic-sandbox,12,1489160007,64,10,55.936,116.561,229.654,47.867
realtek-rtl8188eu,1,senic-sandbox,12,1489160023,1024,10,12.780,63.210,139.870,38.980
realtek-rtl8188eu,1,senic-sandbox,11,1489160107,64,43,15.024,45.830,109.960,28.755
realtek-rtl8188eu,1,senic-sandbox,11,1489160123,1024,0,12.651,38.317,107.108,24.340
realtek-rtl8188eu,1,senic-sandbox,10,1489160165,64,0,8.049,33.665,169.482,31.011
realtek-rtl8188eu,1,senic-sandbox,10,1489160179,1024,0,11.309,30.673,99.842,18.831
realtek-rtl8188eu,1,senic-sandbox,9,1489160222,64,3,8.457,29.651,99.887,21.806
realtek-rtl8188eu,1,senic-sandbox,9,1489160237,1024,46,13.153,74.666,208.490,50.458
realtek-rtl8188eu,1,senic-sandbox,8,1489160265,64,0,8.834,28.942,180.645,38.014
realtek-rtl8188eu,1,senic-sandbox,8,1489160279,1024,3,12.381,49.131,328.317,58.149
realtek-rtl8188eu,1,senic-sandbox,7,1489160311,64,0,8.667,28.716,84.738,20.965
realtek-rtl8188eu,1,senic-sandbox,7,1489160325,1024,0,10.919,21.788,60.598,10.018
realtek-rtl8188eu,1,senic-sandbox,6,1489160357,64,0,7.487,19.809,176.872,29.621
realtek-rtl8188eu,1,senic-sandbox,6,1489160371,1024,0,11.045,32.604,192.282,33.451
realtek-rtl8188eu,1,senic-sandbox,5,1489160401,64,0,8.173,17.277,50.684,9.376
realtek-rtl8188eu,1,senic-sandbox,5,1489160416,1024,0,11.072,18.904,79.620,12.967
realtek-rtl8188eu,1,senic-sandbox,4,1489160440,64,0,7.773,19.892,97.698,16.406
realtek-rtl8188eu,1,senic-sandbox,4,1489160454,1024,0,9.916,18.799,64.740,11.035
realtek-rtl8188eu,1,senic-sandbox,3,1489160479,64,0,7.209,12.774,43.098,6.587
realtek-rtl8188eu,1,senic-sandbox,3,1489160494,1024,0,9.248,15.089,38.993,5.509
realtek-rtl8188eu,1,senic-sandbox,2,1489160519,64,0,7.315,18.362,89.291,17.519
realtek-rtl8188eu,1,senic-sandbox,2,1489160534,1024,6,9.567,19.904,79.885,15.477
realtek-rtl8188eu,1,senic-sandbox,1,1489160565,64,3,7.277,22.951,70.698,17.784
realtek-rtl8188eu,1,senic-sandbox,1,1489160580,1024,0,9.512,23.398,119.576,20.844
realtek-rtl8188eu,1,senic-sandbox,0,1489160615,64,0,7.034,14.390,50.407,8.687
realtek-rtl8188eu,1,senic-sandbox,0,1489160630,1024,0,9.449,18.893,62.120,10.004
